Customer Code,Customer Name,Country Name,Employee ,Customer Type
V0483,SINON CORPORATION LIMITED,,Unassigned,Potential
C0781,SINOPEC (HONG KONG) FUEL OIL COMPANY LTD,,SATNAM,Potential
C0172,SINOPEC FUEL OIL (SINGAPORE) PTE LTD,,Unassigned,Potential
C0173,"SINOPEC FUEL OIL SALES CO., LTD",CHINA,Unassigned,Potential
C0494,SINOTRANS SHIP MANAGEMENT LIMITED,HONG KONG,Unassigned,Potential
C1213,SIRAJ MARINE SERVICES LLLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1090,SIS SHIP CHARTER LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1730,SIS Ship Charter LLC (CIA) (UAE),UNITED ARAB EMIRATES,Unassigned,Potential
C2523,SK ENERGY INTERNATIONAL PTE LTD,SINGAPORE,Unassigned,Potential
C0733,SK SHIPPING (SINGAPORE) PRIVATE LIMITED,SINGAPORE,WILL ZHANG,Potential
C2785,SK TRADING & INTERNATIONAL,,Unassigned,Potential
C1600,SKS,NORWAY,Unassigned,Potential
C0429,SKS TRANSNATIONAL,INDIA,Unassigned,Potential
C0787,SKS TRANSNATIONAL PTE LTD,,Unassigned,Potential
V0696,SKY OIL & GAS ASIA PTE LTD,,Unassigned,Potential
C0175,SKYLINE NAVIGATION PTE LTD,SINGAPORE,Unassigned,Potential
C0473,SKYRISE SHIPPING,INDIA,Unassigned,Potential
C0861,SMC MARINE MANAGMENT PTE LTD,SINGAPORE,Unassigned,Potential
C0476,SMEC MARINE,INDIA,Unassigned,Potential
C0783,SMI SHIPPING LTD-CYPRUS,RUSSIAN FEDERATION,Unassigned,Potential
C1091,Smit Lamnalco,UNITED ARAB EMIRATES,Unassigned,Potential
C1578,SMT shipping,CYPRUS,Unassigned,Potential
C1092,Snamprogetti Saudi Arabia Ltd,UNITED ARAB EMIRATES,Unassigned,Potential
C1093,Socar Trading S&L DMCC,UNITED ARAB EMIRATES,Unassigned,Potential
C1664,Socatra,FRANCE,Unassigned,Potential
C1236,SOCOMET BUNKERING,FRANCE,Unassigned,Potential
C1392,Sodrugestvo (BALTSERVICE),RUSSIAN FEDERATION,Unassigned,Potential
C2548,Soil Corporation,,Unassigned,Potential
C2628,S-Oil Corporation,,Unassigned,Potential
C0594,SOLSTAD OFFSHORE ASIA PACIFIC LIMITED,,Unassigned,Potential
C2153,Someet Shipping,UNITED ARAB EMIRATES,Unassigned,Potential
C1246,SOMEET SHIPPING LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1474,Sometra,ROMANIA,Unassigned,Potential
C0754,SOUTH WIND SHIPPING CORP,GERMANY,Unassigned,Potential
C1754,Southern Coast Oil,UNITED ARAB EMIRATES,Unassigned,Potential
C1941,Southern Coast Oil Services Est,UNITED ARAB EMIRATES,Unassigned,Potential
C0177,SOUTHERN MARITIME SERVICES,,Unassigned,Potential
C0178,SOUTHERNPEC SINGAPORE P L,SINGAPORE,Unassigned,Potential
C2120,SOYLU DENİZCİLİK A.Ş.,TURKEY,ARZU,Potential
C1676,Soylu Group,TURKEY,Unassigned,Potential
C0179,SOYUZ BURKERING GROUP EUROPE,,Unassigned,Potential
C2677,SPARROW MARITIME LTD,MALTA,OMAR,Potential
C2416,SPC,,Unassigned,Potential
C0778,SPEEDCARRIER NO 4 CORP,GEORGIA,Unassigned,Potential
C1508,Spliethoff,UNITED KINGDOM,Unassigned,Potential
C1496,Splosna Plovba,SLOVENIA,Unassigned,Potential
C0421,SPRING TIME MARITIME CO LTD,HONG KONG,Unassigned,Potential
C0332,ST SHIPPING & TRANSPORT PTE,SINGAPORE,WILL ZHANG,Potential
C1094,ST Shipping & Transport Pte Ltd Da-Desk,UNITED ARAB EMIRATES,Unassigned,Potential
C1520,ST Shipping and Transport,UNITED KINGDOM,Unassigned,Potential
C2092,Staatsolie,,SATNAM,Potential
C0669,STADT ROSTOCK ZWEITE T&H,GERMANY,Unassigned,Potential
C1983,Staghorn Marine Services,INDIA,Unassigned,Potential
C1207,STANFORD MARINE,UNITED ARAB EMIRATES,Unassigned,Potential
C1849,Stanford Marine L.L.C.,UNITED ARAB EMIRATES,VAISHNAV,Potential
C0539,STAR BULK MANAGEMENT INCORPORATED,GEORGIA,Unassigned,Potential
C1096,STAR FEEDERS LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C0180,STAR GLOBAL AGENCY PTE LTD,SINGAPORE,Unassigned,Potential
C1852,Star Petroleum Company LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C2154,Star Shell General Trading,UNITED ARAB EMIRATES,Unassigned,Potential
C1306,STAR SHELL GENERAL TRADING LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C0735,STAR TANKERS INC,UNITED STATES OF AMERICA,Unassigned,Potential
C0478,STARLINE SHIPPING,INDIA,Unassigned,Potential
C0358,STATE TRADING ORGANISATION PLC,MALDIVES,Unassigned,Potential
C1169,STATE TRADING ORGANIZATION PLC,MALDIVES,Unassigned,Potential
C1357,Steinweg,NETHERLANDS,Unassigned,Potential
C1571,Stellar Navigation,RUSSIAN FEDERATION,Unassigned,Potential
C1097,Stellar Ocean,UNITED ARAB EMIRATES,Unassigned,Potential
C2071,Stellar Ocean Transport,,Unassigned,Potential
C1098,Stellar Ocean Transport Co. (LLC),UNITED ARAB EMIRATES,Unassigned,Potential
C0692,STELLAR OCEAN TRANSPORT LLC,UNITED ARAB EMIRATES,Unassigned,Potential
C1489,Stemcor,UNITED KINGDOM,Unassigned,Potential
C1510,Stena Bulk,SWEDEN,Unassigned,Potential
C2313,STENA OIL,,Unassigned,Potential
C0466,STERLINGCOAST MANAGEMENTS,INDIA,Unassigned,Potential
C1432,Stolt Tankers B.V. ,NETHERLANDS,Unassigned,Potential
V0643,STONETREE GROUP (HK) LIMITED,,Unassigned,Potential
C2541,STONEWIN,,Unassigned,Potential
C1160,STRICKLAND SERVICES LIMITED,NIGERIA,Unassigned,Potential
C0181,STX CORPORATION,"KOREA, REPUBLIC OF",Unassigned,Potential
C1099,STX Gulf Shipping DMCC,UNITED ARAB EMIRATES,Unassigned,Potential
C1100,Subtec Middle East Ltd,UNITED ARAB EMIRATES,RAKESH,Potential
C1460,Sucden,FRANCE,Unassigned,Potential
C1386,Sudo Service                          ,TURKEY,Unassigned,Potential
C2121,Sudoservice Shipping Consultancy And Trading Ltd,TURKEY,ARZU,Potential
C1379,SUEK AG,SWITZERLAND,Unassigned,Potential
C2526,SUISSE-ATLANTIQUE SOCIETE DE NAVIGATION S.A.,SWITZERLAND,VALERIO,Potential
C1101,Sulaiman Al Jabri Trading Est,UNITED ARAB EMIRATES,Unassigned,Potential
C1702,SULAITI MARINE SERVICES,BAHRAIN,Unassigned,Potential
C0608,"SUN ACE SHIPPING CO.,LTD",,Unassigned,Potential
C0595,SUN BIG SHIPPING S.A. / TAI FU OCEAN CO LTD,,Unassigned,Potential
C1102,Sun International FZE,UNITED ARAB EMIRATES,Unassigned,Potential
C0724,SUNSHIP SCHIFFAHRTSKONTOR KG,GERMANY,Unassigned,Potential
C1745,Suntec Corporation FZCO,UNITED ARAB EMIRATES,Unassigned,Potential
C1103,Suntech Corporation FZCO,UNITED ARAB EMIRATES,Unassigned,Potential
C1943,Super Bridge Logistics,UNITED ARAB EMIRATES,Unassigned,Potential
C0824,SUPERIN CHEMICAL (SINGAPORE) PTE LTD,SINGAPORE,KAREN,Potential
C1104,Superior Offshore International Inc.,UNITED ARAB EMIRATES,Unassigned,Potential
C0764,SUPREME HYDRO ENGINEERING PVT LTD,INDIA,Unassigned,Potential
